id,silt,sand,clay,pH,conductivity,OM,N,CN,C,P,K,Mg,MgK,Ca,Na,bulk,Pb,Ni,Cr,Hg,Cd,Zn,Cu
Xixon01,35.3,40.3,24.4,7.8,0.082,3.68,0.360,5.9,0.36,4,110,526,15.38,4100,26,1.13,34.20,17.04,19.88,0.00,0.35,58.60,11.24
Xixon02,35.3,48.5,16.2,6.1,0.071,7.01,0.500,8.1,0.00,9,318,341,3.45,2050,31,0.95,64.71,10.85,15.96,0.10,0.43,58.50,15.54
Xixon03,27.1,57.7,15.2,4.4,0.090,11.93,0.576,12.0,0.00,8,120,156,4.18,870,40,0.80,43.93,3.65,3.53,0.16,0.21,42.90,3.12
Xixon04,37.4,31.1,31.5,7.8,0.212,6.70,0.569,6.8,11.64,5,321,460,4.61,6950,26,1.00,4.60,15.32,18.85,0.00,0.22,56.10,16.46
Xixon05,30.2,48.5,21.3,7.7,0.138,10.46,0.686,8.8,0.78,9,351,796,7.29,5200,63,0.95,69.69,20.21,21.55,0.00,0.57,94.10,22.39
Xixon06,38.4,41.3,20.3,7.7,0.184,8.88,0.706,7.3,6.29,79,353,454,4.14,5880,25,0.89,37.28,14.53,20.76,0.00,0.37,110.60,22.52
Xixon07,34.3,47.5,18.2,7.9,0.159,11.46,0.683,9.7,6.21,4,120,704,18.86,6430,29,0.92,58.90,18.62,23.71,0.00,0.86,88.50,18.39
Xixon08,22.0,60.8,17.2,7.7,0.150,11.19,0.840,7.7,1.24,8,430,975,7.29,5750,28,0.91,76.13,20.19,24.81,0.00,0.81,167.20,24.45
Xixon09,29.2,30.1,40.7,7.6,0.116,4.38,0.356,7.2,0.16,19,610,1130,5.96,4170,53,1.05,26.66,20.64,27.48,0.14,0.22,51.30,11.70
Xixon10,24.1,57.7,18.2,7.6,0.199,11.35,0.588,11.2,13.36,16,356,542,4.90,6940,26,0.82,23.49,10.84,11.13,0.00,0.19,48.40,12.20
Xixon11,24.1,49.5,26.4,8.3,0.158,3.40,0.223,8.8,5.00,2,346,362,3.36,7970,22,1.04,16.35,14.27,19.28,0.10,0.20,82.80,11.90
Xixon12,22.0,63.8,14.1,7.5,0.172,7.17,0.520,8.0,0.48,9,190,300,5.08,3980,26,0.99,27.66,8.90,12.36,0.37,0.31,73.40,12.72
Xixon13,36.4,35.2,28.5,8.1,0.178,4.12,0.338,7.1,9.91,13,282,241,2.75,8210,35,1.08,26.18,15.09,1.91,0.00,0.24,57.60,11.15
Xixon14,19.0,66.9,14.1,6.2,0.124,15.74,0.824,11.1,0.00,7,280,324,3.72,3580,76,0.76,30.74,8.40,13.63,0.00,0.30,57.10,6.06
Xixon15,17.9,27.0,55.1,7.8,0.119,3.23,0.223,8.4,0.91,1,310,462,4.79,5120,30,1.03,64.48,25.89,22.23,0.47,0.28,114.80,24.43
Xixon16,16.7,62.0,21.3,8.0,0.121,3.87,0.195,11.5,1.78,2,316,1030,10.48,5980,42,1.09,20.76,16.82,22.26,0.00,0.21,96.60,15.00
Xixon17,35.1,41.6,23.3,7.8,0.120,7.18,0.354,11.8,0.36,4,360,560,5.00,4080,40,1.02,150.62,24.41,19.82,0.14,0.98,109.40,23.91
Xixon18,33.0,49.8,17.2,7.6,0.188,8.52,0.478,10.3,10.28,54,287,482,5.40,5950,33,1.05,58.44,15.75,7.83,0.13,0.55,230.10,52.24
Xixon19,25.9,48.7,25.4,8.4,0.141,2.84,0.132,12.5,50.47,2,147,212,4.64,7830,30,1.30,17.33,13.05,12.56,0.00,0.17,46.70,12.26
Xixon20,12.6,74.3,13.1,8.0,0.147,5.59,0.232,13.9,4.77,2,244,125,1.65,6260,55,1.12,285.99,42.11,66.10,0.00,1.85,3770.70,394.76
Xixon21,20.8,64.1,15.2,8.3,0.161,4.07,0.179,13.2,5.23,2,216,340,5.06,7010,37,1.28,258.50,40.92,64.59,0.19,0.83,479.30,102.98
Xixon22,39.2,41.6,19.2,8.5,0.149,1.64,0.098,9.7,15.23,2,128,291,7.31,6470,25,1.28,26.70,10.81,14.17,0.00,0.49,91.70,17.28
Xixon23,39.2,19.1,41.8,7.7,1.315,1.47,0.064,13.3,11.59,1,226,1655,23.55,4250,29,1.24,19.96,20.15,27.29,0.37,0.10,28.70,16.22
Xixon24,48.4,33.4,18.2,5.0,0.158,11.23,0.469,13.9,0.00,6,206,266,4.15,1600,59,0.79,23.70,4.09,6.12,0.00,0.29,75.00,4.23
Xixon25,25.9,57.9,16.2,7.2,0.206,7.69,0.466,9.6,0.88,64,360,299,2.67,4400,38,1.01,42.45,9.39,14.3,0.24,0.64,157.3,17.68
Xixon26,27.9,52.8,19.2,7.5,0.296,7.90,0.485,9.4,4.67,42,460,353,2.47,5680,42,1.01,42.64,15.64,20.17,0.11,0.29,70.70,19.70
Xixon27,28.9,45.7,25.4,7.6,0.137,7.64,0.393,11.3,0.39,22,222,610,8.84,4480,47,0.91,24.38,14.15,9.49,0.00,0.32,66.90,10.00
Xixon28,58.6,19.1,22.3,7.6,0.241,7.35,0.396,10.7,0.45,10,133,706,17.07,5200,37,0.93,19.70,16.32,18.77,0.00,0.31,65.20,12.41
Xixon29,30.0,51.8,18.2,7.3,0.330,14.67,0.563,15.1,4.02,33,268,392,4.70,8350,45,0.77,57.54,100.05,15.06,0.00,0.90,213.70,14.53
Xixon30,22.8,53.9,23.3,7.1,0.247,11.18,0.734,8.8,0.26,3,351,1495,13.70,6260,68,0.93,115.50,21.02,13.62,0.00,1.30,149.30,14.03
